_id,Region,Provincia,Comuna,Localidad,Destino,Nombre Establecimiento,Calle,Numero,Otro,Fono Gerencia o Adm.,Web
1,ARICA Y PARINACOTA,ARICA,ARICA,ARICA,Arica,TURISMO MORRO DE ARICA,CALLE GINEBRA,3660,DEPTO 33,94803269,-
2,ANTOFAGASTA,EL LOA,SAN PEDRO DE ATACAMA,SAN PEDRO DE ATACAMA,San Pedro de Atacama,Servicio de Taxis Condor (Haari),Pasaje Gabriela Mistral,36,-,852105,-
3,COQUIMBO,ELQUI,LA SERENA,LA SERENA,la Serena y Coquimbo,ELQUI VALLEY TOUR,MATTA,367,-,(51) 223807/ (09) 0475555,-
4,COQUIMBO,ELQUI,LA SERENA,LA SERENA,la Serena y Coquimbo,Transporte Aguafuerte,Pje. Los Limoneros,4440,Villa El Indio,97893961,-
5,COQUIMBO,ELQUI,LA SERENA,LA SERENA,la Serena y Coquimbo,TRANSPORTE DE TURISMO NORMA VELASQUEZ,LIRCAY,1697, VILLA EL LIBERTADOR(09), 5491809,-
6,COQUIMBO,ELQUI,LA SERENA,LA SERENA,la Serena y Coquimbo,TURISMO QUINTEROS,ARQUITECTO RODOLFO WAGENKNECHT,3005,-,88892000290,www.laserenatours.cl
7,VALPARAÍSO,VALPARAÍSO,VIÑA DEL MAR,GRAN VALPARAÍSO,Valparaiso Viña del Mar y Concon,Radio Taxi Enrique,Arlegui,273,-,09/75088279,-
8,VALPARAÍSO,VALPARAÍSO,VALPARAISO,GRAN VALPARAÍSO,Valparaíso Viña del Mar y Concon,DISCOVERY TOUR E.I.R.L.,EDIF,-,-,-,-
9,VALPARAÍSO,VALPARAÍSO,VALPARAISO,GRAN VALPARAÍSO,Valparaíso Viña del Mar y Concon,Marytur,La Ruda ,225,Cerro Mariposas,-,-
10,VALPARAÍSO,VALPARAÍSO,VIÑA DEL MAR,GRAN VALPARAÍSO,Valparaíso Viña del Mar y Concon,Turismo Lago Pehoe,Capitan Larraguibel,456,-,-,-
11,LIB. GRAL. B. O'HIGGINS,CACHAPOAL,RANCAGUA,RANCAGUA,Rancagua y Valle del Cachapoal,TRANSCONEXIÓN LTDA,PASAJE POSESIÓN,1379,Oficina,62686415,www.transconexion.cl
12,LIB. GRAL. B. O'HIGGINS,CACHAPOAL,RANCAGUA,RANCAGUA,Rancagua y Valle del Cachapoal,Transportes Rigueva,Patricio Allende,127,casa,93131639587,-
13,LIB. GRAL. B. O'HIGGINS,COLCHAGUA,SAN FERNANDO,SAN FERNANDO,Colchagua,Exclusive Chile,Villa Gabriela Mistral Pasaje Montegrande,1032,-,68433685,-
14,MAULE,TALCA,TALCA,TALCA (P),Talca,LUIS ARMANDO QUEVEDO MUÑOZ,26 SUR,577,-,71-299539   ó   09-89377657,-
15,MAULE,TALCA,TALCA,TALCA (P),Talca,SERVICIOS DE TRANSPORTE & TURISMO,POBLACION LA FLORIDA LOS SAUCES,31,-,09-82371580,-
16,MAULE,TALCA,TALCA,TALCA (P),Talca,TURISMAULE,1 ORIENTE,116,-,09-85061069  ó  09-97414525,-
17,MAULE,LINARES,SAN JAVIER,SANTA CECILIA,San Javier,SILLA DEL SOL,PARCELA SECTOR SANTA CECILIA,44,-,09-82133789,-
18,BÍO-BÍO,CONCEPCIÓN,SAN PEDRO DE LA PAZ,GRAN CONCEPCIÓN (P),Concepción,TRANSPORTES VIGUERAS,VICTORIA,36,-,77755380,-
19,LA ARAUCANÍA,CAUTÍN,TEMUCO,GRAN TEMUCO (P),Temuco y Lago Budi,Buses y Minibuses Barra Blanc,Doctor Carrillo,204,-,98478602,-
20,LA ARAUCANÍA,CAUTÍN,TEMUCO,GRAN TEMUCO (P),Temuco y Lago Budi,SERVICIO DE TRANSFER DE TEMUCO,ISABEL RIQUELME 02126,--,-,(45) 241345 / 94431469,-
21,LA ARAUCANÍA,CAUTÍN,TEMUCO,GRAN TEMUCO,Temuco y Lago Budi,TRANSFER Y TURISMO ÑIELOL,LOS FLAMENCOS VILLA OLIMPICA,0360,-,88431301,-
22,LA ARAUCANÍA,CAUTÍN,TEMUCO,GRAN TEMUCO,Temuco y Lago Budi,TRANSPORTE DE PASAJEROS FRANKLIN LIRA,VICTOR MANUEL ESTAY,01680,--,74975389,-
23,LA ARAUCANÍA,CAUTÍN,TEMUCO,GRAN TEMUCO,Temuco y Lago Budi,TRANSPORTE Y TURISMO LA PAZ,LAS GALICIAS, 0521,--,95600142,-
24,LA ARAUCANÍA,CAUTÍN,PADRE LAS CASAS,GRAN TEMUCO,Cautín,TAXIS Y TRANSFER AEROPUERTO TEMUCO,BOMBERO CARLOS REINARZ 1940,--,-,98269149,www.taxisytransfer.cl
25,LA ARAUCANÍA,CAUTÍN,PUCON,PUCÓN (P),Pucon y Villarrica,GEO SUR TURISMO,CACIQUE POCOLLANCA,342,-,95483759,-
26,LA ARAUCANÍA,CAUTÍN,VILLARRICA,VILLARRICA (P),Pucon y Villarrica,GNECHEN SERVICIOS TURISTICOS,LOS CRISANTEMOS 1210,--,-,98249637,-
27,LA ARAUCANÍA,CAUTÍN,VILLARRICA,VILLARRICA (P),Pucon y Villarrica,TRANSFER AEROPUERTO TEMUCO,VICENTE HUIDOBRO,1210,-,68345065,-
28,LOS LAGOS,LLANQUIHUE,PUERTO MONTT,PUERTO MONTT (P),Puerto Montt y Angelmo,ANDRESTOUR,Buin,583,-,314670,-
29,LOS LAGOS,LLANQUIHUE,PUERTO MONTT,PUERTO MONTT (P),Puerto Montt y Angelmo,TRANSPORTES AUSTRAL SUR,VEGA,2296,-,65272002,-
30,LOS LAGOS,LLANQUIHUE,PUERTO MONTT,PUERTO MONTT (P),Puerto Montt y Angelmo,turismo del sur chile,urmeneta,537,402,9 2244643,www.turismodelsurchile.com
31,LOS LAGOS,LLANQUIHUE,PUERTO MONTT,PELLUCO,Puerto Montt y Angelmo,JC,Buenos Aires,1971,torre H departamento 603,98021747,-
32,LOS LAGOS,LLANQUIHUE,FRUTILLAR,FRUTILLAR,Lagos Llanquihue y Todos Los Santos,Agencia Turismo Hornig,Avenida Alemania,590,-,50421157,-
33,LOS LAGOS,LLANQUIHUE,LLANQUIHUE,LLANQUIHUE,Lagos Llanquihue y Todos Los Santos,TRANSPORTE LLANQUIHUE,blanco,713,-,85859533,-
34,LOS LAGOS,CHILOÉ,DALCAHUE,DALCAHUE,Chiloé,SERVITOUR DALCAHUE,NUEVA 1,850,-,-,-
35,LOS LAGOS,CHILOÉ,DALCAHUE,DALCAHUE,Chiloé,TAXIS ,RAMON FREIRE,275,-,-,-
36,LOS LAGOS,CHILOÉ,DALCAHUE,DALCAHUE,Chiloé,taxis alondra,Ramon Freire 275 poniente,065641721,-,065641721,-
37,LOS LAGOS,CHILOÉ,DALCAHUE,DALCAHUE,Chiloé,TRANSPORTES PABLO MUÑOZ DIAZ,LAUTARO,6,-,-,-
38,LOS LAGOS,OSORNO,OSORNO,OSORNO,Lago Puyehue y Osorno,LUIS GABRIEL CATALAN MARTINEZ,Anibal Pinto,2013,-,(09)92419263,-
39,LOS LAGOS,OSORNO,OSORNO,OSORNO,Lago Puyehue y Osorno,OSORNO CHILE AVENTUR,ZENTENO,1203,-,98833522,-
40,LOS LAGOS,OSORNO,OSORNO,OSORNO (P),Lago Puyehue y Osorno,SERVITRANSTUR,SAN BENITO,2111,-,064-311637 - 97024960,www.servitranstur.cl
41,LOS LAGOS,OSORNO,OSORNO,OSORNO (P),Lago Puyehue y Osorno,TRANSTUR,CERVANTES,1895,-,77676411,-
42,LOS LAGOS,OSORNO,PUERTO OCTAY,PUERTO OCTAY,Lagos Llanquihue y Todos Los Santos,Transporte y Turismo U-55,LOS HEROES,1018,LOS HEROES  1018 Puerto Octay,99291590,-
43,AYSÉN,COYHAIQUE,COYHAIQUE,COYHAIQUE,Coyhaique Puerto Aysén y Laguna San Rafael,BUSES JOSEFINA,ALMIRANTE BARROSO,1525,-,97847020 91206458,-
44,AYSÉN,COYHAIQUE,COYHAIQUE,COYHAIQUE,Coyhaique Puerto Aysén y Laguna San Rafael,MINI BUSES DON DARIO,MAX CASAS, 795, POBL A PRAT,67-233286 93562138,-
45,MAGALLANES,MAGALLANES,PUNTA ARENAS,PUNTA ARENAS (P),Punta Arenas y Estrecho de Magallanes,Franklin Javier Chavez Arteaga,camino club andino,km. 7,-,88402493,-
46,MAGALLANES,MAGALLANES,PUNTA ARENAS,PUNTA ARENAS (P),Punta Arenas y Estrecho de Magallanes,Transporte Overland,jose mendez,554,-,93201447,www.satourviajes.com
