_id,Region,Provincia,Comuna,Localidad,Destino,Nombre Establecimiento,Calle,Numero,Otro,Fono Gerencia o Adm.,Web
1,ARICA Y PARINACOTA,ARICA,ARICA,ARICA,Arica,Turismo Mechita,Luis Valente Rossi,2161,-,96301807,-
2,COQUIMBO,ELQUI,LA SERENA,LA SERENA,La Serena y Coquimbo,DIAGUITAS,PALERMO,400,-,-,-
3,COQUIMBO,ELQUI,LA SERENA,LA SERENA,La Serena y Coquimbo,Jorge Galdames Muñoz,Cantournet,946,-,(051) 481860,-
4,COQUIMBO,ELQUI,LA SERENA,LA SERENA,La Serena y Coquimbo,TRANSPORTE MOYANO G.,EL MESIAS,4042,VILLA EL PARQUE,051-253206 - 89703499 - 97170122,-
5,COQUIMBO,LIMARÍ,MONTE PATRIA,JUNTAS,Ovalle,Turisma,Villa Renacer,87,-,-,-
6,COQUIMBO,LIMARÍ,MONTE PATRIA,JUNTAS,Ovalle,Turisma,Villa Renacer Juntas,87,www.turisma.cl,(53) 711402,-
7,VALPARAÍSO,VALPARAÍSO,VIÑA DEL MAR,GRAN VALPARAÍSO (P),Valparaíso Viña del Mar y Concon,Radio Taxi Enrique,Arlegui,273,-,09/75088279,-
8,VALPARAÍSO,MARGA MARGA,QUILPUE,GRAN VALPARAISO (P),Marga Marga,ARACIS,PASAJE A,254,-,-,-
9,VALPARAÍSO,MARGA MARGA,QUILPUE,BELLOTO NORTE,Marga Marga,Transportes Carrasco,Araucanos,1527,-,95460027,-
10,MAULE,TALCA,TALCA,TALCA (P),Talca,KARMAR VIAJES ESPECIALES,9 NORTE  NUEVA HOLANDA,Nº 3085,-, 09- 93261231,-
11,MAULE,TALCA,TALCA,TALCA (P),Talca,Transturmaule,19 1/2  sur B,232,-,09-96389444   ó   09-98877160,www.transturmaule.cl
12,MAULE,CURICÓ,CURICO,CURICÓ (P),Curicó y Reserva Radal 7 tazas,TRANSPORTES RAPANUI,Sarajevo sector Don Sebastian de Rauquen,1677,-,09-88032850 ó  09-96487659,-
13,BÍO-BÍO,CONCEPCIÓN,TALCAHUANO,GRAN CONCEPCIÓN (P),Concepción,BUSES LCT,BALMACEDA 340 TALCAHUANO,340,-,2541886,www.buseslct.cl
14,BÍO-BÍO,CONCEPCIÓN,TALCAHUANO,GRAN CONCEPCIÓN (P),Concepción,FLOTA VERSCHAE S.A.,AVDA. LAS GOLONDRINAS,1556,-,041-2410000,www.verschae.cl
